date,LuZao_GordonO_MA43_DownCross_MA86,LuZao_GordonI_MA19_UpCross_MA43,LuZao_GordonII_MA19_UpCross_MA86,LuZao_DeadI_MA43_UpCross_MA86,LuZao_DeadII_MA19_DownCross_MA43
1997-07-09,6,0,0,0,0
1997-07-10,6,0,0,0,1
1997-07-11,7,5,2,0,1
1997-07-14,8,2,1,0,1
1997-07-15,8,5,2,0,1
1997-07-16,7,5,1,0,2
1997-07-17,10,6,0,0,0
1997-07-18,4,3,1,0,1
1997-07-21,6,3,1,0,4
1997-07-22,5,1,2,0,5
1997-07-23,3,4,2,0,3
1997-07-24,2,0,0,0,1
1997-07-25,5,1,3,1,5
1997-07-28,3,1,1,1,1
1997-07-29,2,2,1,1,3
1997-07-30,1,2,4,3,0
1997-07-31,3,7,1,1,2
1997-08-01,1,4,1,2,1
1997-08-04,1,7,3,1,0
1997-08-05,4,15,3,2,0
1997-08-06,5,24,3,0,1
1997-08-07,4,13,2,0,1
1997-08-08,2,16,2,0,0
1997-08-11,4,14,2,3,3
1997-08-12,2,20,0,1,2
1997-08-13,2,4,1,1,3
1997-08-14,1,9,0,0,5
1997-08-15,2,18,0,1,2
1997-08-18,4,5,0,1,3
1997-08-19,1,3,3,2,6
1997-08-20,3,9,1,0,1
1997-08-21,1,10,2,1,1
1997-08-22,3,19,5,2,1
1997-08-25,2,17,4,0,1
1997-08-26,1,12,5,1,1
1997-08-27,3,9,3,2,0
1997-08-28,0,5,9,1,1
1997-08-29,1,5,4,1,0
1997-09-01,1,8,6,2,1
1997-09-02,1,6,5,1,2
1997-09-03,2,1,11,2,4
1997-09-04,0,0,8,4,3
1997-09-05,1,2,10,4,1
1997-09-08,1,8,10,9,1
1997-09-09,1,7,9,6,0
1997-09-10,1,2,20,9,2
1997-09-11,0,3,20,3,0
1997-09-12,2,11,6,9,0
1997-09-15,1,7,11,8,2
1997-09-16,0,4,6,14,1
1997-09-17,5,8,4,7,0
1997-09-18,2,5,6,11,0
1997-09-19,2,3,7,12,0
1997-09-22,4,4,3,8,3
1997-09-23,1,0,2,1,7
1997-09-24,2,3,2,6,10
1997-09-25,0,0,1,9,7
1997-09-26,3,1,0,2,8
1997-09-29,1,0,0,4,13
1997-09-30,3,3,0,2,17
1997-10-06,4,1,0,1,12
1997-10-07,1,0,2,0,12
1997-10-08,1,1,0,0,10
1997-10-09,1,0,1,2,5
1997-10-10,3,2,0,0,8
1997-10-13,5,1,1,0,4
1997-10-14,4,0,2,0,4
1997-10-15,2,0,2,1,1
1997-10-16,3,1,1,2,3
1997-10-17,1,1,0,1,0
1997-10-20,2,2,1,2,1
1997-10-21,0,1,2,3,0
1997-10-22,1,2,2,2,0
1997-10-23,4,8,6,3,0
1997-10-24,2,8,2,0,3
1997-10-27,0,11,1,2,1
1997-10-28,4,9,3,0,2
1997-10-29,1,25,5,2,1
1997-10-30,3,23,6,4,0
1997-10-31,5,21,11,4,0
1997-11-03,4,14,14,1,1
1997-11-04,6,21,11,2,0
1997-11-05,11,25,9,2,0
1997-11-06,5,14,9,0,1
1997-11-07,8,22,14,2,3
1997-11-10,9,18,16,2,0
1997-11-11,5,13,18,1,1
1997-11-12,6,24,7,2,2
1997-11-13,4,20,6,3,1
1997-11-14,3,6,5,4,0
1997-11-17,3,4,4,9,2
1997-11-18,1,6,5,3,2
1997-11-19,2,6,4,2,0
1997-11-20,0,2,3,2,1
1997-11-21,0,1,1,5,3
1997-11-24,1,2,0,6,1
1997-11-25,1,0,3,11,0
1997-11-26,0,1,3,8,7
1997-11-27,2,1,3,9,2
1997-11-28,1,1,3,9,6
1997-12-01,0,0,3,8,2
1997-12-02,1,0,1,6,5
1997-12-03,2,0,0,9,11
1997-12-04,0,0,0,4,23
1997-12-05,2,0,3,6,10
1997-12-08,1,0,1,2,6
1997-12-09,2,0,1,4,14
1997-12-10,5,0,1,4,11
1997-12-11,1,0,3,2,12
1997-12-12,2,0,1,4,10
1997-12-15,2,1,1,2,4
1997-12-16,3,2,1,1,4
1997-12-17,6,4,2,1,5
1997-12-18,7,1,2,0,2
1997-12-19,6,1,4,1,2
1997-12-22,1,2,1,1,2
1997-12-23,4,2,3,4,2
1997-12-24,7,9,3,1,1
1997-12-25,8,10,6,2,3
1997-12-26,2,10,4,8,1
1997-12-29,2,10,5,1,0
1997-12-30,2,3,6,0,1
1997-12-31,5,14,6,8,0
1998-01-05,5,11,6,4,2
1998-01-06,4,9,4,7,1
1998-01-07,0,18,11,4,1
1998-01-08,1,11,7,5,3
1998-01-09,3,16,14,3,1
